architecture,benchmark,benchmark_key,avg_cpd,avg_wl,successful_seeds,failed_seeds
All_top_arch,S35932,S35932,2.8498399999999995,13750.2,5,0
Iso-Edge_arch,S35932,S35932,2.9600120000000003,14177.0,5,0
Mix-Edge_arch,S35932,S35932,2.8202539999999994,13612.0,5,0
Aligned_arch,S35932,S35932,2.945126,13957.8,5,0
Striped_arch,S35932,S35932,2.870796,13999.8,5,0
Border_arch,S35932,S35932,2.9015440000000003,12936.6,5,0
2D_arch,S382,S382,2.1825319999999997,224.8,5,0
Offset_arch,S382,S382,2.14355,200.2,5,0
All_top_arch,S382,S382,2.20818,229.2,5,0
Iso-Edge_arch,S382,S382,2.161458,232.6,5,0
Mix-Edge_arch,S382,S382,2.106528,220.4,5,0
Aligned_arch,S382,S382,2.0772839999999997,216.2,5,0
Striped_arch,S382,S382,2.077428,209.4,5,0
Border_arch,S382,S382,2.171016,211.8,5,0
2D_arch,S38417,S38417,5.790392,15663.6,5,0
Offset_arch,S38417,S38417,5.804502,15152.8,5,0
All_top_arch,S38417,S38417,5.700446,15047.2,5,0
Iso-Edge_arch,S38417,S38417,5.8319659999999995,15056.0,5,0
Mix-Edge_arch,S38417,S38417,5.8765719999999995,14537.0,5,0
Aligned_arch,S38417,S38417,5.829706,14959.2,5,0
Striped_arch,S38417,S38417,6.014126,15644.4,5,0
Border_arch,S38417,S38417,5.615012,14261.4,5,0
2D_arch,S38584,S38584,6.631804,19362.2,5,0
Offset_arch,S38584,S38584,6.27807,18313.6,5,0
All_top_arch,S38584,S38584,6.283878,18055.2,5,0
Iso-Edge_arch,S38584,S38584,6.451938,18456.6,5,0
Mix-Edge_arch,S38584,S38584,6.30282,17917.8,5,0
Aligned_arch,S38584,S38584,6.4697059999999995,18263.6,5,0
Striped_arch,S38584,S38584,6.5695120000000005,18900.2,5,0
Border_arch,S38584,S38584,6.485130000000001,17474.0,5,0
2D_arch,S386,S386,2.5969439999999997,271.4,5,0
Offset_arch,S386,S386,2.55624,248.2,5,0
All_top_arch,S386,S386,2.595662,242.2,5,0
Iso-Edge_arch,S386,S386,2.6031039999999996,271.6,5,0
Mix-Edge_arch,S386,S386,2.567926,264.4,5,0
Aligned_arch,S386,S386,2.484166,219.2,5,0
Striped_arch,S386,S386,2.6083679999999996,253.6,5,0
Border_arch,S386,S386,2.731906,267.0,5,0
2D_arch,S400,S400,2.5669060000000004,285.2,5,0
Offset_arch,S400,S400,2.579008,273.0,5,0
All_top_arch,S400,S400,2.616176,252.4,5,0
Iso-Edge_arch,S400,S400,2.715566,266.8,5,0
Mix-Edge_arch,S400,S400,2.678402,260.0,5,0
Aligned_arch,S400,S400,2.566908,249.4,5,0
Striped_arch,S400,S400,2.604072,239.4,5,0
Border_arch,S400,S400,2.5669060000000004,217.4,5,0
2D_arch,S420,S420,3.0147660000000003,217.6,5,0
Offset_arch,S420,S420,2.913964,215.4,5,0
All_top_arch,S420,S420,3.122264,259.6,5,0
Iso-Edge_arch,S420,S420,3.196596,265.2,5,0
Mix-Edge_arch,S420,S420,3.1693420000000003,240.4,5,0
Aligned_arch,S420,S420,3.0774280000000003,253.6,5,0
Striped_arch,S420,S420,3.038054,223.0,5,0
Border_arch,S420,S420,2.921036,210.8,5,0
2D_arch,S444,S444,2.455412,296.4,5,0
Offset_arch,S444,S444,2.780198,224.2,5,0
All_top_arch,S444,S444,2.5669060000000004,242.4,5,0
Iso-Edge_arch,S444,S444,2.4925760000000006,204.2,5,0
Mix-Edge_arch,S444,S444,2.4554120000000004,201.0,5,0
Aligned_arch,S444,S444,2.4554120000000004,210.0,5,0
Striped_arch,S444,S444,2.752732,234.8,5,0
Border_arch,S444,S444,2.566908,224.0,5,0
2D_arch,S510,S510,2.185344,327.8,5,0
Offset_arch,S510,S510,2.1366799999999997,288.6,5,0
All_top_arch,S510,S510,2.003082,281.2,5,0
Iso-Edge_arch,S510,S510,2.114576,246.0,5,0
Mix-Edge_arch,S510,S510,2.206094,237.6,5,0
Aligned_arch,S510,S510,2.189992,275.6,5,0
Striped_arch,S510,S510,2.0661759999999996,290.0,5,0
Border_arch,S510,S510,2.1145780000000003,238.0,5,0
2D_arch,S526,S526,2.14355,245.2,5,0
Offset_arch,S526,S526,2.2356439999999997,222.8,5,0
